id,item_id,store_id,date,forecast
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-05-23,2.1249941901435414
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-05-24,2.1775149019228945
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-05-25,2.1249941901435414
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-05-26,2.1249941901435414
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-05-27,2.258822420909498
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-05-28,2.258822420909498
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-05-29,2.258822420909498
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-05-30,2.1249941901435414
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-05-31,2.1249941901435414
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-01,2.3869601089128345
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-02,3.055464139621136
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-03,3.055464139621136
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-04,2.507207177047244
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-05,2.507207177047244
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-06,2.417885542061318
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-07,2.417885542061318
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-08,2.4093080734532775
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-09,2.4093080734532775
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-10,2.3969358057593917
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-11,2.4986297084392035
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-12,2.4986297084392035
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-13,2.4093080734532775
FOODS_3_819_WI_3_evaluation,FOODS_3_819,WI_3,2016-06-14,2.4093080734532775
