review_index,review_day,forecast_day,forecast,forecast_d,actual
1520,2015-04-26,F1,1.5531722051164052,2015-04-27,6
1520,2015-04-26,F2,1.8314081483417028,2015-04-28,3
1520,2015-04-26,F3,1.6233582697635927,2015-04-29,0
1520,2015-04-26,F4,1.5981845157917893,2015-04-30,0
1520,2015-04-26,F5,1.829008097890104,2015-05-01,3
1520,2015-04-26,F6,2.8288041790829155,2015-05-02,1
1520,2015-04-26,F7,3.5216057987939715,2015-05-03,1
1520,2015-04-26,F8,1.919682649169241,2015-05-04,5
1520,2015-04-26,F9,2.023477446238924,2015-05-05,0
1520,2015-04-26,F10,1.8738186110887443,2015-05-06,2
1527,2015-05-03,F1,1.5997008333250222,2015-05-04,5
1527,2015-05-03,F2,1.8384140422286657,2015-05-05,0
1527,2015-05-03,F3,1.9231681129463563,2015-05-06,2
1527,2015-05-03,F4,1.9230983988605403,2015-05-07,4
1527,2015-05-03,F5,1.962787842266702,2015-05-08,1
1527,2015-05-03,F6,2.848590762935894,2015-05-09,4
1527,2015-05-03,F7,2.7080485251959288,2015-05-10,2
1527,2015-05-03,F8,1.7362693864331564,2015-05-11,1
1527,2015-05-03,F9,1.8110268194409387,2015-05-12,1
1527,2015-05-03,F10,1.813390941413419,2015-05-13,0
1534,2015-05-10,F1,1.8445309774130454,2015-05-11,1
1534,2015-05-10,F2,1.8746052668480184,2015-05-12,1
1534,2015-05-10,F3,1.9162645329567876,2015-05-13,0
1534,2015-05-10,F4,1.6843758803025357,2015-05-14,0
1534,2015-05-10,F5,1.968026918573349,2015-05-15,2
1534,2015-05-10,F6,2.1367727496456124,2015-05-16,2
1534,2015-05-10,F7,2.547142019321057,2015-05-17,0
1534,2015-05-10,F8,1.8477963237503539,2015-05-18,1
1534,2015-05-10,F9,1.3180714851881379,2015-05-19,2
1534,2015-05-10,F10,1.0610139598095325,2015-05-20,2
1541,2015-05-17,F1,1.342614744448845,2015-05-18,1
1541,2015-05-17,F2,1.1919301778664402,2015-05-19,2
1541,2015-05-17,F3,0.8377378910697012,2015-05-20,2
1541,2015-05-17,F4,1.5938715540893842,2015-05-21,1
1541,2015-05-17,F5,1.3503418630470967,2015-05-22,0
1541,2015-05-17,F6,2.025491910324031,2015-05-23,1
1541,2015-05-17,F7,1.3673191432654066,2015-05-24,1
1541,2015-05-17,F8,1.9337946101679513,2015-05-25,2
1541,2015-05-17,F9,1.876826198643584,2015-05-26,2
1541,2015-05-17,F10,1.889388288872732,2015-05-27,1
1548,2015-05-24,F1,2.095825343633988,2015-05-25,2
1548,2015-05-24,F2,1.6514753072876132,2015-05-26,2
1548,2015-05-24,F3,1.7198118583556683,2015-05-27,1
1548,2015-05-24,F4,1.5642587860488586,2015-05-28,5
1548,2015-05-24,F5,1.1931297055431014,2015-05-29,3
1548,2015-05-24,F6,1.7510664678973435,2015-05-30,1
1548,2015-05-24,F7,1.7459064464192995,2015-05-31,5
1548,2015-05-24,F8,1.8810179120790549,2015-06-01,1
1548,2015-05-24,F9,2.210402652122296,2015-06-02,0
1548,2015-05-24,F10,2.2203369337779115,2015-06-03,2
1555,2015-05-31,F1,1.9913613582732161,2015-06-01,1
1555,2015-05-31,F2,2.0362902099178597,2015-06-02,0
1555,2015-05-31,F3,2.2439442277868094,2015-06-03,2
1555,2015-05-31,F4,1.821278430118104,2015-06-04,0
1555,2015-05-31,F5,1.5533037269663192,2015-06-05,1
1555,2015-05-31,F6,2.2783988929354155,2015-06-06,3
1555,2015-05-31,F7,1.8375434174383618,2015-06-07,0
1555,2015-05-31,F8,1.9525777857918778,2015-06-08,2
1555,2015-05-31,F9,1.922127408196021,2015-06-09,2
1555,2015-05-31,F10,1.5843695741256478,2015-06-10,5
1562,2015-06-07,F1,2.170656558619323,2015-06-08,2
1562,2015-06-07,F2,2.1188608182634967,2015-06-09,2
1562,2015-06-07,F3,1.6256472226446432,2015-06-10,5
1562,2015-06-07,F4,1.8294234448562694,2015-06-11,2
1562,2015-06-07,F5,1.7544865642975787,2015-06-12,2
1562,2015-06-07,F6,2.068597993663007,2015-06-13,1
1562,2015-06-07,F7,2.2772035791260707,2015-06-14,0
1562,2015-06-07,F8,1.7729947999940423,2015-06-15,3
1562,2015-06-07,F9,1.6482110530244876,2015-06-16,0
1562,2015-06-07,F10,1.4447463841009083,2015-06-17,2
1569,2015-06-14,F1,1.6749433961447824,2015-06-15,3
1569,2015-06-14,F2,1.4793377483236154,2015-06-16,0
1569,2015-06-14,F3,1.4210591200136715,2015-06-17,2
1569,2015-06-14,F4,1.232100335919255,2015-06-18,1
1569,2015-06-14,F5,1.2995116838997394,2015-06-19,3
1569,2015-06-14,F6,1.6794257383177638,2015-06-20,1
1569,2015-06-14,F7,1.6306792592844426,2015-06-21,0
1569,2015-06-14,F8,1.492834010092432,2015-06-22,3
1569,2015-06-14,F9,1.527318946815404,2015-06-23,0
1569,2015-06-14,F10,1.5444404740809898,2015-06-24,0
1576,2015-06-21,F1,1.3723986522322458,2015-06-22,3
1576,2015-06-21,F2,1.5740011530418316,2015-06-23,0
1576,2015-06-21,F3,1.447355635896067,2015-06-24,0
1576,2015-06-21,F4,1.6546660037202545,2015-06-25,0
1576,2015-06-21,F5,1.2937667969804754,2015-06-26,2
1576,2015-06-21,F6,1.3326934795853935,2015-06-27,0
1576,2015-06-21,F7,1.1562414351562587,2015-06-28,2
1576,2015-06-21,F8,1.4209385419298615,2015-06-29,0
1576,2015-06-21,F9,1.4303277648450354,2015-06-30,3
1576,2015-06-21,F10,1.4691738110092627,2015-07-01,3
1583,2015-06-28,F1,1.542701657755905,2015-06-29,0
1583,2015-06-28,F2,1.5184644228756805,2015-06-30,3
1583,2015-06-28,F3,1.2205419088576777,2015-07-01,3
1583,2015-06-28,F4,1.5027449073654506,2015-07-02,2
1583,2015-06-28,F5,1.9901398433549116,2015-07-03,5
1583,2015-06-28,F6,1.8453988178613856,2015-07-04,1
1583,2015-06-28,F7,2.498111114442716,2015-07-05,3
1583,2015-06-28,F8,2.0548001257687383,2015-07-06,3
1583,2015-06-28,F9,1.42263183673444,2015-07-07,0
1583,2015-06-28,F10,1.924002408175411,2015-07-08,1
1590,2015-07-05,F1,2.0401427729515325,2015-07-06,3
1590,2015-07-05,F2,1.5916126831167803,2015-07-07,0
1590,2015-07-05,F3,1.9995224228325226,2015-07-08,1
1590,2015-07-05,F4,2.356714652169834,2015-07-09,6
1590,2015-07-05,F5,0.7332357371122322,2015-07-10,0
1590,2015-07-05,F6,2.228939084031623,2015-07-11,1
1590,2015-07-05,F7,1.9800670350363165,2015-07-12,3
1590,2015-07-05,F8,1.567102042565699,2015-07-13,2
1590,2015-07-05,F9,1.7754123876227113,2015-07-14,2
1590,2015-07-05,F10,1.7869552007308054,2015-07-15,0
1597,2015-07-12,F1,1.7783477967053183,2015-07-13,2
1597,2015-07-12,F2,1.7159494194366451,2015-07-14,2
1597,2015-07-12,F3,1.691092619515589,2015-07-15,0
