review_index,review_day,forecast_day,forecast,forecast_d
1520,2015-04-26,F1,140.23394596797377,2015-04-27
1520,2015-04-26,F2,119.47438302133328,2015-04-28
1520,2015-04-26,F3,134.73631195811612,2015-04-29
1520,2015-04-26,F4,129.890188004466,2015-04-30
1520,2015-04-26,F5,199.67354052307817,2015-05-01
1520,2015-04-26,F6,250.15645161728688,2015-05-02
1520,2015-04-26,F7,264.97003552032834,2015-05-03
1520,2015-04-26,F8,144.28096372111523,2015-05-04
1520,2015-04-26,F9,126.84736360520765,2015-05-05
1520,2015-04-26,F10,135.93692783043886,2015-05-06
1527,2015-05-03,F1,135.25351256127746,2015-05-04
1527,2015-05-03,F2,132.42147454210502,2015-05-05
1527,2015-05-03,F3,142.10689992942224,2015-05-06
1527,2015-05-03,F4,153.57901439612272,2015-05-07
1527,2015-05-03,F5,184.05944717587727,2015-05-08
1527,2015-05-03,F6,203.62985135074587,2015-05-09
1527,2015-05-03,F7,230.15885891614514,2015-05-10
1527,2015-05-03,F8,164.83641622364433,2015-05-11
1527,2015-05-03,F9,151.36409297951397,2015-05-12
1527,2015-05-03,F10,149.4195049268496,2015-05-13
1534,2015-05-10,F1,160.6853062066546,2015-05-11
1534,2015-05-10,F2,154.3737362075217,2015-05-12
1534,2015-05-10,F3,150.10275965847828,2015-05-13
1534,2015-05-10,F4,156.1518912733407,2015-05-14
1534,2015-05-10,F5,176.06173972599046,2015-05-15
1534,2015-05-10,F6,193.32826899833233,2015-05-16
1534,2015-05-10,F7,93.16442467215376,2015-05-17
1534,2015-05-10,F8,56.74616983964765,2015-05-18
1534,2015-05-10,F9,57.74047411026318,2015-05-19
1534,2015-05-10,F10,1.896849329218906,2015-05-20
1541,2015-05-17,F1,44.15093238886068,2015-05-18
1541,2015-05-17,F2,73.25450681568016,2015-05-19
1541,2015-05-17,F3,11.543738124355217,2015-05-20
1541,2015-05-17,F4,3.250975269164474,2015-05-21
1541,2015-05-17,F5,-7.619847015370348,2015-05-22
1541,2015-05-17,F6,13.422818385720255,2015-05-23
1541,2015-05-17,F7,8.980224042346807,2015-05-24
1541,2015-05-17,F8,0.45711971853366773,2015-05-25
1541,2015-05-17,F9,0.5772549828710525,2015-05-26
1541,2015-05-17,F10,-1.3948648882239374,2015-05-27
1548,2015-05-24,F1,0.6319695557898195,2015-05-25
1548,2015-05-24,F2,-1.0831337901019742,2015-05-26
1548,2015-05-24,F3,-1.700276505661848,2015-05-27
1548,2015-05-24,F4,-5.052041729206603,2015-05-28
1548,2015-05-24,F5,-6.5308525021446115,2015-05-29
1548,2015-05-24,F6,-10.340562294397756,2015-05-30
1548,2015-05-24,F7,45.597458194820845,2015-05-31
1548,2015-05-24,F8,32.80722730510002,2015-06-01
1548,2015-05-24,F9,19.492110430161993,2015-06-02
1548,2015-05-24,F10,24.012864763750343,2015-06-03
1555,2015-05-31,F1,28.792047295249546,2015-06-01
1555,2015-05-31,F2,22.744880636446418,2015-06-02
1555,2015-05-31,F3,22.587710542593488,2015-06-03
1555,2015-05-31,F4,26.46062853847798,2015-06-04
1555,2015-05-31,F5,15.318126305779165,2015-06-05
1555,2015-05-31,F6,13.08183764535153,2015-06-06
1555,2015-05-31,F7,16.135128300413964,2015-06-07
1555,2015-05-31,F8,14.812296318368235,2015-06-08
1555,2015-05-31,F9,12.051065161397682,2015-06-09
1555,2015-05-31,F10,10.154718237610002,2015-06-10
1562,2015-06-07,F1,11.321984796013663,2015-06-08
1562,2015-06-07,F2,3.2457032503472982,2015-06-09
1562,2015-06-07,F3,8.55723717789557,2015-06-10
1562,2015-06-07,F4,71.96520217497317,2015-06-11
1562,2015-06-07,F5,70.63358844805053,2015-06-12
1562,2015-06-07,F6,66.08131324019052,2015-06-13
1562,2015-06-07,F7,71.43384426573242,2015-06-14
1562,2015-06-07,F8,152.8123733433193,2015-06-15
1562,2015-06-07,F9,206.70668293039665,2015-06-16
1562,2015-06-07,F10,206.36576548240944,2015-06-17
1569,2015-06-14,F1,146.59893099404687,2015-06-15
1569,2015-06-14,F2,213.0679653320228,2015-06-16
1569,2015-06-14,F3,211.8430952917705,2015-06-17
1569,2015-06-14,F4,203.59896122749385,2015-06-18
1569,2015-06-14,F5,237.61158634739982,2015-06-19
1569,2015-06-14,F6,284.4122205526005,2015-06-20
1569,2015-06-14,F7,220.86405940369664,2015-06-21
1569,2015-06-14,F8,139.1768293121197,2015-06-22
1569,2015-06-14,F9,149.79830680548713,2015-06-23
1569,2015-06-14,F10,154.87195892544406,2015-06-24
1576,2015-06-21,F1,104.97930831251949,2015-06-22
1576,2015-06-21,F2,146.03989190334113,2015-06-23
1576,2015-06-21,F3,152.04841568014677,2015-06-24
1576,2015-06-21,F4,149.27542373884188,2015-06-25
1576,2015-06-21,F5,190.579329011987,2015-06-26
1576,2015-06-21,F6,249.78691010499918,2015-06-27
1576,2015-06-21,F7,247.79018772466398,2015-06-28
1576,2015-06-21,F8,158.978359085141,2015-06-29
1576,2015-06-21,F9,150.32938309353594,2015-06-30
1576,2015-06-21,F10,161.7865343401233,2015-07-01
1583,2015-06-28,F1,160.6676835889185,2015-06-29
1583,2015-06-28,F2,152.4615210192718,2015-06-30
1583,2015-06-28,F3,165.69169229794147,2015-07-01
1583,2015-06-28,F4,168.15146680432665,2015-07-02
1583,2015-06-28,F5,189.34855036338485,2015-07-03
1583,2015-06-28,F6,242.91800373177813,2015-07-04
1583,2015-06-28,F7,229.79105108209646,2015-07-05
1583,2015-06-28,F8,166.84357197701206,2015-07-06
1583,2015-06-28,F9,161.9751228492315,2015-07-07
1583,2015-06-28,F10,158.64085848949256,2015-07-08
1590,2015-07-05,F1,170.6055064559269,2015-07-06
1590,2015-07-05,F2,165.86090979509737,2015-07-07
1590,2015-07-05,F3,160.6973282092232,2015-07-08
1590,2015-07-05,F4,168.56440982152702,2015-07-09
1590,2015-07-05,F5,185.55831086628797,2015-07-10
1590,2015-07-05,F6,227.8252531116815,2015-07-11
1590,2015-07-05,F7,223.95226118831906,2015-07-12
1590,2015-07-05,F8,163.0819622837307,2015-07-13
1590,2015-07-05,F9,148.33300355292198,2015-07-14
1590,2015-07-05,F10,144.36492029438668,2015-07-15
1597,2015-07-12,F1,145.94945761137703,2015-07-13
1597,2015-07-12,F2,146.4791041216966,2015-07-14
1597,2015-07-12,F3,151.4098074269166,2015-07-15
1597,2015-07-12,F4,162.38074532928908,2015-07-16
1597,2015-07-12,F5,190.27163505363967,2015-07-17
1597,2015-07-12,F6,216.00379063868738,2015-07-18
1597,2015-07-12,F7,223.0248237845691,2015-07-19
1597,2015-07-12,F8,170.5484317840494,2015-07-20
1597,2015-07-12,F9,157.20710262166344,2015-07-21
1597,2015-07-12,F10,159.8381705315967,2015-07-22
1604,2015-07-19,F1,174.22367378933185,2015-07-20
1604,2015-07-19,F2,161.8845321183855,2015-07-21
1604,2015-07-19,F3,167.3533216844131,2015-07-22
1604,2015-07-19,F4,159.09357338257664,2015-07-23
1604,2015-07-19,F5,199.5264229012414,2015-07-24
1604,2015-07-19,F6,230.54776011248558,2015-07-25
1604,2015-07-19,F7,231.5172012771518,2015-07-26
1604,2015-07-19,F8,166.2149676489366,2015-07-27
1604,2015-07-19,F9,148.7386382604551,2015-07-28
1604,2015-07-19,F10,144.45002804052987,2015-07-29
1611,2015-07-26,F1,168.01087108794616,2015-07-27
1611,2015-07-26,F2,158.35804172094302,2015-07-28
1611,2015-07-26,F3,152.62889125989625,2015-07-29
1611,2015-07-26,F4,161.8395690935316,2015-07-30
1611,2015-07-26,F5,217.14241071901776,2015-07-31
1611,2015-07-26,F6,268.92931794154174,2015-08-01
1611,2015-07-26,F7,273.25385628840627,2015-08-02
1611,2015-07-26,F8,186.1258287861384,2015-08-03
1611,2015-07-26,F9,153.95719992134002,2015-08-04
1611,2015-07-26,F10,150.77616306531877,2015-08-05
1618,2015-08-02,F1,172.32822078998794,2015-08-03
1618,2015-08-02,F2,143.36606797012809,2015-08-04
1618,2015-08-02,F3,158.14696443352395,2015-08-05
1618,2015-08-02,F4,140.66973542390747,2015-08-06
1618,2015-08-02,F5,178.54114428497007,2015-08-07
1618,2015-08-02,F6,253.28754407892663,2015-08-08
1618,2015-08-02,F7,222.61800212825096,2015-08-09
1618,2015-08-02,F8,166.0210493981345,2015-08-10
1618,2015-08-02,F9,163.5785599082034,2015-08-11
1618,2015-08-02,F10,165.58204034885608,2015-08-12
1625,2015-08-09,F1,162.5300551785702,2015-08-10
1625,2015-08-09,F2,155.64581021275038,2015-08-11
1625,2015-08-09,F3,170.71939402765574,2015-08-12
1625,2015-08-09,F4,167.8912158447901,2015-08-13
1625,2015-08-09,F5,203.76731193736515,2015-08-14
1625,2015-08-09,F6,239.87936267384768,2015-08-15
1625,2015-08-09,F7,238.08721038444446,2015-08-16
1625,2015-08-09,F8,146.9273956408063,2015-08-17
1625,2015-08-09,F9,158.75796750640524,2015-08-18
1625,2015-08-09,F10,163.73044662501775,2015-08-19
1632,2015-08-16,F1,145.87117144216774,2015-08-17
1632,2015-08-16,F2,158.856894513873,2015-08-18
1632,2015-08-16,F3,181.94542907881595,2015-08-19
1632,2015-08-16,F4,175.6128977822304,2015-08-20
1632,2015-08-16,F5,207.61863636273247,2015-08-21
1632,2015-08-16,F6,244.30269387454697,2015-08-22
1632,2015-08-16,F7,229.48142927614865,2015-08-23
1632,2015-08-16,F8,159.37396567451506,2015-08-24
1632,2015-08-16,F9,142.31329518141803,2015-08-25
1632,2015-08-16,F10,150.71462126189252,2015-08-26
1639,2015-08-23,F1,150.44737859887715,2015-08-24
1639,2015-08-23,F2,138.64110788766968,2015-08-25
1639,2015-08-23,F3,153.09895311118768,2015-08-26
1639,2015-08-23,F4,167.2744743453185,2015-08-27
1639,2015-08-23,F5,170.80277221731816,2015-08-28
1639,2015-08-23,F6,235.965434678962,2015-08-29
1639,2015-08-23,F7,205.37084398118344,2015-08-30
1639,2015-08-23,F8,146.69093983482688,2015-08-31
1639,2015-08-23,F9,164.90849929127984,2015-09-01
1639,2015-08-23,F10,170.44229090353687,2015-09-02
1646,2015-08-30,F1,156.47534356112527,2015-08-31
1646,2015-08-30,F2,169.32713240005378,2015-09-01
1646,2015-08-30,F3,167.6230345527655,2015-09-02
1646,2015-08-30,F4,161.93409568695327,2015-09-03
1646,2015-08-30,F5,197.9547727291982,2015-09-04
1646,2015-08-30,F6,256.16839587656085,2015-09-05
1646,2015-08-30,F7,237.06874626906037,2015-09-06
1646,2015-08-30,F8,152.43229555870968,2015-09-07
1646,2015-08-30,F9,156.07865714835233,2015-09-08
1646,2015-08-30,F10,163.33713080817688,2015-09-09
1653,2015-09-06,F1,156.56155345694583,2015-09-07
1653,2015-09-06,F2,160.71938322714507,2015-09-08
1653,2015-09-06,F3,160.54562029937202,2015-09-09
1653,2015-09-06,F4,160.96905728742394,2015-09-10
1653,2015-09-06,F5,204.61896058408988,2015-09-11
1653,2015-09-06,F6,241.99157130967458,2015-09-12
1653,2015-09-06,F7,219.11823356110574,2015-09-13
1653,2015-09-06,F8,158.41061512950128,2015-09-14
1653,2015-09-06,F9,125.87346183458908,2015-09-15
1653,2015-09-06,F10,117.2914301014256,2015-09-16
1660,2015-09-13,F1,162.80199035709242,2015-09-14
1660,2015-09-13,F2,120.34426640773535,2015-09-15
1660,2015-09-13,F3,128.69068358645706,2015-09-16
1660,2015-09-13,F4,147.22779814289132,2015-09-17
1660,2015-09-13,F5,177.44891457501637,2015-09-18
1660,2015-09-13,F6,246.36722242346102,2015-09-19
1660,2015-09-13,F7,230.78291600674842,2015-09-20
1660,2015-09-13,F8,161.67235433418963,2015-09-21
1660,2015-09-13,F9,151.16809964055585,2015-09-22
1660,2015-09-13,F10,151.11970346643218,2015-09-23
1667,2015-09-20,F1,166.62434542802896,2015-09-21
1667,2015-09-20,F2,157.4505556115379,2015-09-22
1667,2015-09-20,F3,154.08263303805404,2015-09-23
1667,2015-09-20,F4,157.980055072974,2015-09-24
1667,2015-09-20,F5,199.97426433808903,2015-09-25
1667,2015-09-20,F6,252.88082197436822,2015-09-26
1667,2015-09-20,F7,231.38862541961694,2015-09-27
1667,2015-09-20,F8,151.05135823352435,2015-09-28
1667,2015-09-20,F9,147.44456262356826,2015-09-29
1667,2015-09-20,F10,151.91774647914255,2015-09-30
1674,2015-09-27,F1,153.23030839757018,2015-09-28
1674,2015-09-27,F2,144.06599292021514,2015-09-29
1674,2015-09-27,F3,147.7963537699167,2015-09-30
1674,2015-09-27,F4,160.58423282404658,2015-10-01
1674,2015-09-27,F5,197.48720104627645,2015-10-02
1674,2015-09-27,F6,257.989862925017,2015-10-03
1674,2015-09-27,F7,223.52867999875247,2015-10-04
1674,2015-09-27,F8,156.0532284344753,2015-10-05
1674,2015-09-27,F9,145.31005399627998,2015-10-06
1674,2015-09-27,F10,154.96090729354668,2015-10-07
1681,2015-10-04,F1,170.36143496693592,2015-10-05
1681,2015-10-04,F2,144.82409596930864,2015-10-06
1681,2015-10-04,F3,153.07551629777677,2015-10-07
1681,2015-10-04,F4,152.75767325570712,2015-10-08
1681,2015-10-04,F5,177.92549135952817,2015-10-09
1681,2015-10-04,F6,234.17844320977397,2015-10-10
1681,2015-10-04,F7,208.0656064079053,2015-10-11
1681,2015-10-04,F8,152.26402953318907,2015-10-12
1681,2015-10-04,F9,131.69164586890693,2015-10-13
1681,2015-10-04,F10,137.77291120034963,2015-10-14
1688,2015-10-11,F1,143.57508786516453,2015-10-12
1688,2015-10-11,F2,132.08765179315586,2015-10-13
1688,2015-10-11,F3,134.05629726380113,2015-10-14
1688,2015-10-11,F4,143.72895817765445,2015-10-15
1688,2015-10-11,F5,177.0572225023284,2015-10-16
1688,2015-10-11,F6,128.2847473259439,2015-10-17
1688,2015-10-11,F7,143.07724231483212,2015-10-18
1688,2015-10-11,F8,150.75196952784177,2015-10-19
1688,2015-10-11,F9,143.8629048043087,2015-10-20
1688,2015-10-11,F10,143.24440135228193,2015-10-21
1695,2015-10-18,F1,145.54729365598746,2015-10-19
1695,2015-10-18,F2,136.43898688007178,2015-10-20
1695,2015-10-18,F3,132.61094712784276,2015-10-21
1695,2015-10-18,F4,149.71691824871033,2015-10-22
1695,2015-10-18,F5,238.2240200758589,2015-10-23
1695,2015-10-18,F6,262.38298643085795,2015-10-24
1695,2015-10-18,F7,221.06206382152942,2015-10-25
1695,2015-10-18,F8,179.09849953727405,2015-10-26
1695,2015-10-18,F9,165.57144729895984,2015-10-27
1695,2015-10-18,F10,164.43410412725922,2015-10-28
1702,2015-10-25,F1,181.1655034857875,2015-10-26
1702,2015-10-25,F2,173.47770732722054,2015-10-27
1702,2015-10-25,F3,154.53353367776748,2015-10-28
1702,2015-10-25,F4,162.7189152615769,2015-10-29
1702,2015-10-25,F5,196.73699460000574,2015-10-30
1702,2015-10-25,F6,271.904772183634,2015-10-31
1702,2015-10-25,F7,223.67483546721428,2015-11-01
1702,2015-10-25,F8,155.75326105055004,2015-11-02
1702,2015-10-25,F9,140.82798872992882,2015-11-03
1702,2015-10-25,F10,137.03612822029297,2015-11-04
1709,2015-11-01,F1,159.34942308657585,2015-11-02
1709,2015-11-01,F2,149.34191843664107,2015-11-03
1709,2015-11-01,F3,149.14162308447263,2015-11-04
1709,2015-11-01,F4,139.6447865105899,2015-11-05
1709,2015-11-01,F5,164.10576085510468,2015-11-06
1709,2015-11-01,F6,199.98253556081704,2015-11-07
1709,2015-11-01,F7,211.47315645052555,2015-11-08
1709,2015-11-01,F8,141.74065824699346,2015-11-09
1709,2015-11-01,F9,135.59812357692326,2015-11-10
1709,2015-11-01,F10,139.13665596567273,2015-11-11
1716,2015-11-08,F1,134.46205141944188,2015-11-09
1716,2015-11-08,F2,125.68160800139906,2015-11-10
1716,2015-11-08,F3,124.29039317904372,2015-11-11
1716,2015-11-08,F4,116.81259333883631,2015-11-12
1716,2015-11-08,F5,166.77546792952407,2015-11-13
1716,2015-11-08,F6,203.17348725866103,2015-11-14
1716,2015-11-08,F7,209.10245710076978,2015-11-15
1716,2015-11-08,F8,150.5445231592919,2015-11-16
1716,2015-11-08,F9,141.59560353862125,2015-11-17
1716,2015-11-08,F10,151.9721202385522,2015-11-18
1723,2015-11-15,F1,161.96201244782628,2015-11-16
1723,2015-11-15,F2,152.93131147246356,2015-11-17
1723,2015-11-15,F3,161.05504572920975,2015-11-18
1723,2015-11-15,F4,148.36176207186313,2015-11-19
1723,2015-11-15,F5,211.05235701789516,2015-11-20
1723,2015-11-15,F6,252.40746854477516,2015-11-21
1723,2015-11-15,F7,245.26548249320598,2015-11-22
1723,2015-11-15,F8,207.53998159833486,2015-11-23
1723,2015-11-15,F9,198.1821478655774,2015-11-24
1723,2015-11-15,F10,209.02904815451652,2015-11-25
1730,2015-11-22,F1,213.33085142273754,2015-11-23
1730,2015-11-22,F2,212.42031757148388,2015-11-24
1730,2015-11-22,F3,214.51751593384844,2015-11-25
1730,2015-11-22,F4,362.2251698948509,2015-11-26
1730,2015-11-22,F5,368.442574031015,2015-11-27
1730,2015-11-22,F6,310.26976655054295,2015-11-28
1730,2015-11-22,F7,289.5347693506852,2015-11-29
1730,2015-11-22,F8,299.8582509851413,2015-11-30
1730,2015-11-22,F9,82.19145629976244,2015-12-01
1730,2015-11-22,F10,26.146920894142,2015-12-02
1737,2015-11-29,F1,349.35706239642076,2015-11-30
1737,2015-11-29,F2,79.65162721120655,2015-12-01
1737,2015-11-29,F3,18.77504644446708,2015-12-02
1737,2015-11-29,F4,18.866868946637215,2015-12-03
1737,2015-11-29,F5,132.60697668528206,2015-12-04
1737,2015-11-29,F6,111.04051650369252,2015-12-05
1737,2015-11-29,F7,42.17316039101555,2015-12-06
1737,2015-11-29,F8,51.76188439392795,2015-12-07
